フェーズ,業務ID,業務名,担当者,業務内容,関連システム・文書,備考
入所前,1.1,対象者選定・通知受付,保健所職員,軽症・無症状者の入所対象者を選定し宿泊療養の通知を受付,療養者管理システム,医師の判断に基づく
入所前,1.2,健康状態確認,保健師,対象者の症状・基礎疾患・服薬状況等を確認,健康観察票・カルテ,電話またはオンラインで実施
入所前,1.3,入所適性判定,医師,宿泊療養の適性について医学的判断を実施,診療記録,重症化リスク評価含む
入所前,1.4,宿泊施設調整,調整担当者,空室状況確認し入所可能施設を調整,施設管理システム,感染対策レベル考慮
入所前,1.5,入所日程調整,事務職員,対象者と入所日時・場所・持参物等を調整,連絡調整記録,交通手段の確認も含む
入所前,1.6,施設準備,施設管理者,居室清掃・消毒・備品準備・感染対策確認,準備チェックリスト,入所前点検必須
入所時,2.1,到着受付,受付担当者,到着確認・本人確認・受付手続きを実施,受付記録・本人確認書類,非接触での対応
入所時,2.2,健康状態チェック,看護師,体温測定・症状確認・バイタルサイン測定,健康チェック表,異常時は医師連絡
入所時,2.3,療養ルール説明,生活指導員,施設利用ルール・感染対策・緊急時対応を説明,療養生活の手引き,理解度確認必須
入所時,2.4,居室案内,施設職員,指定居室への案内・設備使用方法説明,居室配置図・設備マニュアル,清掃状況確認
入所時,2.5,緊急連絡先確認,事務職員,緊急時連絡先・家族連絡先・かかりつけ医情報確認,緊急連絡先リスト,24時間連絡可能先
入所時,2.6,入所手続き完了,管理責任者,入所関連書類の最終確認・システム登録,入所完了報告書,保健所への報告含む
滞在中,3.1,朝の健康観察,看護師,体温・症状・食事摂取状況等の確認,健康観察記録,毎朝定時実施
滞在中,3.2,夕の健康観察,看護師,体温・症状・１日の体調変化を確認,健康観察記録,毎夕定時実施
滞在中,3.3,体調変化時対応,医師・看護師,症状悪化時の医学的判断・医療機関搬送判定,緊急時対応記録,24時間対応体制
滞在中,3.4,食事提供,配膳担当者,朝昼夕の配食・特別食対応・摂取状況確認,配食記録・栄養管理表,非接触での配膳
滞在中,3.5,生活支援,相談員,日常生活相談・精神的サポート・必需品提供,相談記録・支援内容記録,心理的ケア含む
滞在中,3.6,医療機関連携,連携調整者,かかりつけ医・専門医との情報共有・受診調整,医療連携記録,継続治療が必要な場合
滞在中,3.7,家族・関係機関連絡,連絡調整担当,家族への状況報告・職場等関係機関への連絡調整,連絡記録,プライバシー保護
退所時,4.1,退所条件確認,医師,症状改善・感染力低下の医学的確認,診察記録・検査結果,退所基準に基づく判定
退所時,4.2,PCR検査等実施,検査担当者,必要に応じてPCR検査・抗原検査を実施,検査記録・結果通知書,検査方法は指針に従う
退所時,4.3,退所判定,医師,総合的な退所可否の最終判定,退所判定書,保健所との協議含む
退所時,4.4,退所手続き,事務職員,退所に関する事務手続き・書類作成・会計処理,退所関連書類・請求書,交通手段確認
退所時,4.5,清掃・消毒作業,清掃担当者,使用居室・共有部分の清掃・消毒作業,清掃・消毒チェックリスト,感染対策基準遵守
退所時,4.6,次回利用準備,施設管理者,居室点検・備品補充・次回受入準備,準備完了チェックリスト,稼働率向上のため
