フェーズ,業務ID,業務名,担当者,業務内容,関連システム・文書,分岐条件,備考
入所前,1.1,対象者選定・通知受付,保健所職員,軽症・無症状者の入所対象者を選定し宿泊療養の通知を受付,療養者管理システム・通知書,,医師の判断に基づく選定
入所前,1.2,健康状態確認,保健師,対象者の症状・基礎疾患・服薬状況等を電話・オンラインで確認,健康観察票・カルテ・診療記録,,重症化リスク評価含む
入所前,1.3,入所適性判定,医師,宿泊療養の適性について医学的判断を実施,診療記録,適用/不適,重症化リスク・基礎疾患考慮
入所前,1.3a,不適用時終了処理,事務職員,入所適性不適用時の代替処理・他の療養方法検討,処理記録,,医療機関療養等へ誘導
入所前,1.4,宿泊施設調整,調整担当者,空室状況確認し入所可能施設を調整,施設管理システム,,感染対策レベル・患者属性考慮
入所前,1.5,入所日程調整,事務職員,対象者と入所日時・場所・持参物等を調整,連絡調整記録・調整記録,,交通手段・アクセス確認含む
入所前,1.6,施設準備,施設管理者,居室清掃・消毒・備品準備・感染対策確認,準備チェックリスト,,入所前点検必須・安全確認
入所時,2.1,到着受付,受付担当者,到着確認・本人確認・受付手続きを非接触で実施,受付記録・本人確認書類・身分証明書,,感染対策遵守
入所時,2.2,健康状態チェック,看護師,体温測定・症状確認・バイタルサイン測定,健康チェック表・体温記録,正常/異常,異常時は即座に医師連絡
入所時,2.2a,緊急医療搬送,医療スタッフ,健康状態異常時の緊急医療機関搬送,緊急搬送記録・医療機関連携記録,,24時間対応・救急搬送
入所時,2.3,療養ルール説明,生活指導員,施設利用ルール・感染対策・緊急時対応を説明,療養生活の手引き,,理解度確認・質疑応答
入所時,2.4,居室案内・設備説明,施設職員,指定居室への案内・設備使用方法説明,居室配置図・設備マニュアル,,清掃状況・安全確認
入所時,2.5,緊急連絡先確認,事務職員,緊急時連絡先・家族連絡先・かかりつけ医情報確認,緊急連絡先リスト,,24時間連絡可能先複数確保
入所時,2.6,入所手続き完了,管理責任者,入所関連書類の最終確認・システム登録・報告,入所完了報告書,,保健所への完了報告含む
滞在中,3.1,朝の健康観察,看護師,体温・症状・食事摂取状況等の定時確認,健康観察記録・健康観察票,,毎朝定時実施・記録必須
滞在中,3.2,夕の健康観察,看護師,体温・症状・１日の体調変化を確認,健康観察記録・健康観察票,,毎夕定時実施・変化記録
滞在中,3.3,体調変化判定,医師・看護師,症状変化の医学的評価・対応方針決定,健康観察記録,安定/悪化,24時間モニタリング体制
滞在中,3.3a,体調悪化時対応,医師・看護師,症状悪化時の医学的判断・医療機関搬送判定,緊急時対応記録・医療連携記録,,緊急搬送・専門医療機関連携
滞在中,3.4,食事提供・栄養管理,配膳担当者,朝昼夕の配食・特別食対応・摂取状況確認,配食記録・栄養管理表・食事記録,,非接触配膳・栄養バランス配慮
滞在中,3.5,生活支援・相談対応,相談員・カウンセラー,日常生活相談・精神的サポート・必需品提供,相談記録・支援内容記録,,心理的ケア・メンタルヘルス支援
滞在中,3.6,医療機関連携,連携調整者・医師,かかりつけ医・専門医との情報共有・受診調整,医療連携記録・診療情報提供書,,継続治療・慢性疾患管理
滞在中,3.7,家族・関係機関連絡,連絡調整担当,家族への状況報告・職場等関係機関への連絡調整,連絡記録・通信記録,,プライバシー保護・定期報告
滞在中,3.8,療養継続判定,医師・管理責任者,療養継続の必要性・退所準備の判断,継続判定記録,継続/退所準備,定期的な医学的評価
退所時,4.1,退所条件確認,医師,症状改善・感染力低下の医学的確認,診察記録・医学的評価書,,退所基準に基づく総合判定
退所時,4.2,PCR検査等実施,検査担当者・医療技師,必要に応じてPCR検査・抗原検査を実施,検査記録・結果通知書・検査報告書,,検査方法は最新指針に従う
退所時,4.3,退所判定,医師・管理責任者,総合的な退所可否の最終判定,退所判定書・医学的判定書,退所可能/療養継続,保健所との協議・多職種評価
退所時,4.3a,療養継続処理,医療スタッフ,退所不可時の療養継続処理・再評価スケジュール設定,継続療養記録,,定期的再評価・状況モニタリング
退所時,4.4,退所手続き・事務処理,事務職員,退所に関する事務手続き・書類作成・会計処理,退所関連書類・請求書・精算書,,交通手段確認・帰宅支援
退所時,4.5,清掃・消毒作業,清掃担当者・感染管理者,使用居室・共有部分の清掃・消毒作業,清掃・消毒チェックリスト,,感染対策基準遵守・環境整備
退所時,4.6,次回利用準備,施設管理者,居室点検・備品補充・次回受入準備,準備完了チェックリスト・点検記録,,稼働率向上・効率的運営
退所時,4.7,退所完了報告,管理責任者,退所完了の保健所・関係機関への報告,退所完了報告書・実績報告書,,統計データ・実績管理
