業務ID,業務分類,業務名,業務内容,担当者,システム利用可否（システム名）,帳票出力可否（帳票名）,前工程ID,次工程ID
1,市民課-証明,住民票交付申請受付,申請書受理・本人確認,市民課窓口担当,○ 住基ネット,○ 申請受付票,,2
2,市民課-証明,手数料徴収,手数料徴収・領収証発行,市民課会計担当,×,○ 領収証,1,3
3,市民課-証明,住基ネット照会,住基ネットで情報照会,市民課窓口担当,○ 住基ネット,×,2,4
4,市民課-証明,証明書印刷,証明書印刷・押印,市民課窓口担当,○ 証明発行システム,○ 住民票写し,3,5
5,市民課-証明,交付・返却,証明書交付・釣銭返却,市民課窓口担当,×,×,4,
6,保険年金課-国保,国保加入申請受付,加入届受理・本人確認,保険年金課窓口担当,×,○ 受付票,,7
7,保険年金課-国保,資格要件確認,加入資格判定,保険年金課審査担当,○ 国保システム,×,6,8
8,保険年金課-国保,保険料算定,世帯情報から保険料計算,保険年金課審査担当,○ 国保システム,×,7,9
9,保険年金課-国保,納付通知書作成,納付通知書を作成し発送準備,保険年金課審査担当,○ 国保システム,○ 納付通知書,8,10
10,保険年金課-国保,保険証発行・交付,保険証を発行し交付,保険年金課窓口担当,○ 国保システム,○ 国保被保険者証,9,
11,こども家庭課-児童手当,児童手当申請受付,申請書受理・内容確認,こども家庭課窓口担当,○ 電子申請システム,○ 受付票,,12
12,こども家庭課-児童手当,所得情報照会,税情報システムで所得照会,こども家庭課審査担当,○ 税情報システム,×,11,13
13,こども家庭課-児童手当,審査・支給決定,支給可否判定・決定通知作成,こども家庭課係長,○ 児童手当システム,○ 支給決定通知書,12,14
14,こども家庭課-児童手当,支給予定登録,財務システムへ支給予定登録,こども家庭課審査担当,○ 児童手当システム,×,13,15
15,こども家庭課-児童手当,振込処理,銀行へ振込依頼,財務課出納担当,○ 財務会計システム,○ 振込依頼書,14,
16,市民課-住民異動,転出届受付,転出届受理・本人確認,市民課窓口担当,○ 住基ネット,○ 受理票,,17
17,市民課-住民異動,マイナポータル連携通知,マイナポータルで転入自治体へ通知,情報政策課システム担当,○ マイナポータル,×,16,18
18,市民課-住民異動,転入先自治体連携,転入データ受領・住基更新,市民課審査担当,○ 住基ネット,○ 更新確認票,17,19
19,市民課-住民異動,住所変更通知書発行,住所変更通知書を発行し交付,市民課窓口担当,×,○ 住所変更通知書,18,
20,産業振興課-補助金,補助金申請受付,補助金申請書受理,産業振興課窓口担当,○ 電子申請システム,○ 受付票,,21
21,産業振興課-補助金,AI-OCR読取,紙申請をAI-OCRで電子化,産業振興課デジタル担当,○ AI-OCRシステム,×,20,22
22,産業振興課-補助金,審査会議,審査委員会で審査,審査委員会,×,○ 審査記録,21,23
23,産業振興課-補助金,採択通知・契約,採択通知書送付・交付契約,産業振興課窓口担当,○ 補助金管理システム,○ 採択通知書,22,24
24,産業振興課-補助金,支払処理,補助金振込処理,財務課出納担当,○ 財務会計システム,○ 振込依頼書,23,
25,市民課-証明,印鑑登録申請受付,登録申請書受理・本人確認,市民課窓口担当,×,○ 申請受付票,,26
26,市民課-証明,登録照会・本人確認,登録可否照会・本人確認,市民課窓口担当,○ 住基ネット,×,25,27
27,市民課-証明,登録証カード交付,登録証ICカードを交付,市民課窓口担当,×,○ 印鑑登録証,26,28
28,市民課-証明,印鑑証明書交付,印鑑証明書発行・交付,市民課窓口担当,○ 証明発行システム,○ 印鑑証明書,27,
29,高齢福祉課-介護認定,要介護認定申請受付,認定申請書受理,高齢福祉課窓口担当,×,○ 受付票,,30
30,高齢福祉課-介護認定,認定調査,訪問調査・主治医意見書取得,認定調査員,○ 介護認定システム,×,29,31
31,高齢福祉課-介護認定,認定審査会,審査会で要介護度判定,認定審査会,×,○ 審査記録,30,32
32,高齢福祉課-介護認定,認定通知発送,認定結果通知書を発送,高齢福祉課窓口担当,○ 介護認定システム,○ 認定通知書,31,
