業務ID,業務分類,業務名,業務内容,担当者,システム利用可否（システム名）,帳票出力可否（帳票名）,前工程ID,次工程ID
1,市民課-住民票交付,来庁・案内,窓口入口で案内係が必要書類を案内,案内係,×,×,,2
2,市民課-住民票交付,申請書配布,申請書様式を手渡し,案内係,×,×,1,3
3,市民課-住民票交付,申請書記入,来庁者が申請書を記入し記載内容を確認,市民課支援担当,×,×,2,4
4,市民課-住民票交付,受付提出,申請書を受付窓口へ提出し受付番号発行,市民課窓口担当,○ 受付番号発行システム,○ 受付票,3,5
5,市民課-住民票交付,本人確認書類提示,運転免許証等で本人確認,市民課窓口担当,×,×,4,6
6,市民課-住民票交付,代理権確認,委任状の有無と内容を確認,市民課窓口担当,×,×,5,7
7,市民課-住民票交付,マイナンバーカード読取,カードリーダーでICチップ読取,市民課窓口担当,○ マイナカード読取装置,×,6,8
8,市民課-住民票交付,住基ネット照会,住民基本台帳ネットで住民票情報取得,市民課窓口担当,○ 住基ネット,×,7,9
9,市民課-住民票交付,記載事項選択,本籍・マイナンバー等の記載有無を設定,市民課窓口担当,○ 証明発行システム,×,8,10
10,市民課-住民票交付,手数料算定,通数と証明種別から手数料を算定,市民課窓口担当,○ 手数料計算システム,×,9,11
11,市民課-住民票交付,レジ入力,手数料をレジに入力し決済方法選択,市民課会計担当,○ 会計POS,×,10,12
12,市民課-住民票交付,手数料徴収,現金またはキャッシュレスで手数料を受領,市民課会計担当,○ POSレジ,×,11,13
13,市民課-住民票交付,領収証印刷,領収証を印刷し押印,市民課会計担当,○ POSレジ,○ 領収証,12,14
14,市民課-住民票交付,証明発行システム連携,発行システムへ申請ID連携,市民課窓口担当,○ 証明発行システム,×,13,15
15,市民課-住民票交付,住民票データ取得,証明発行システムが住民票データを取得,証明発行システム,○ 住基ネット,×,14,16
16,市民課-住民票交付,証明書印刷,レーザープリンタで住民票を印刷,証明発行システム,○ 証明発行システム,○ 住民票写し,15,17
17,市民課-住民票交付,証明書ホチキス留め,複数枚の場合ホチキスで留める,市民課窓口担当,×,×,16,18
18,市民課-住民票交付,公印押印,公印を押印し真正性を確認,市民課窓口担当,×,×,17,19
19,市民課-住民票交付,記載内容最終確認,責任者が記載と押印を最終確認,市民課係長,×,×,18,20
20,市民課-住民票交付,封筒準備,交付用封筒を準備し差込,市民課窓口担当,×,×,19,21
21,市民課-住民票交付,交付呼出,受付番号を呼出し窓口へ誘導,市民課窓口担当,○ 呼出表示システム,×,20,22
22,市民課-住民票交付,証明書交付,本人へ住民票写しを手交,市民課窓口担当,×,×,21,23
23,市民課-住民票交付,釣銭返却,過不足がないか釣銭を返却,市民課会計担当,×,×,22,24
24,市民課-住民票交付,受領サイン取得,受領簿または電子ペンで署名取得,市民課窓口担当,○ 電子署名パッド,×,23,25
25,市民課-住民票交付,帳票スキャン,申請書・領収証をスキャナーで電子化,市民課窓口担当,○ OCRスキャナー,×,24,26
26,市民課-住民票交付,会計締め処理,日計表をPOSから出力し締め処理,市民課会計担当,○ POSレジ,○ 日計表,25,27
27,市民課-住民票交付,データバックアップ,証明発行データをサーバへバックアップ,情報政策課,○ バックアップサーバ,×,26,28
28,市民課-住民票交付,日報作成,発行件数・手数料を集計し日報作成,市民課係長,○ 日報作成システム,○ 日報,27,29
29,市民課-住民票交付,書類保管,紙申請書を保管庫へ収納,市民課庶務担当,×,×,28,30
30,市民課-住民票交付,業務完了,窓口終了後、翌日分の申請書を補充,市民課庶務担当,×,×,29,
